,Model 1_FE,Model 2_FE,Model 3_FE,Model 4_FE
Entropy_lag1,0.0001636383591792995,0.00016250327927569216,0.00016250327927569232,-0.00013805484345996228
KL_lag1,6.171076844360063e-05,6.462506076406775e-05,6.462506076406783e-05,0.00014197804159965258
HHI_lag1,,-8.469826382266126e-06,-8.469826382266172e-06,-0.0015004495908619421
Entropy_HHI,,,,0.0015028203926118722
