Year,Sector,Firm,Return,HHI,CR4,Inflation,Interest Rate,Exchange Rate
2005,Banking,BBCA.JK,0.0008818235897808892,0.0009005947649100205,0.0061368473175773906,10.4532001873347,-0.245735467014772,9704.74166666666
2005,Banking,BBNI.JK,-0.0005653280923395402,0.0009005947649100205,0.0061368473175773906,10.4532001873347,-0.245735467014772,9704.74166666666
2005,Banking,BBRI.JK,0.0007804373296434979,0.0009005947649100205,0.0061368473175773906,10.4532001873347,-0.245735467014772,9704.74166666666
2005,Banking,BMRI.JK,-5.963894842162676e-05,0.0009005947649100205,0.0061368473175773906,10.4532001873347,-0.245735467014772,9704.74166666666
2005,Banking,BNGA.JK,0.00034637788419060716,0.0009005947649100205,0.0061368473175773906,10.4532001873347,-0.245735467014772,9704.74166666666
2005,Banking,MEGA.JK,0.003111977728286934,0.0009005947649100205,0.0061368473175773906,10.4532001873347,-0.245735467014772,9704.74166666666
2005,Consumer,GGRM.JK,-0.00011753036946288289,0.0027955980867412564,0.018033220333015004,10.4532001873347,-0.245735467014772,9704.74166666666
2005,Consumer,HMSP.JK,0.001724918824242836,0.0027955980867412564,0.018033220333015004,10.4532001873347,-0.245735467014772,9704.74166666666
2005,Consumer,ICBP.JK,0.0008794912431006405,0.0027955980867412564,0.018033220333015004,10.4532001873347,-0.245735467014772,9704.74166666666
2005,Consumer,INDF.JK,0.0009400476033180778,0.0027955980867412564,0.018033220333015004,10.4532001873347,-0.245735467014772,9704.74166666666
2005,Consumer,KLBF.JK,0.0019813761328568665,0.0027955980867412564,0.018033220333015004,10.4532001873347,-0.245735467014772,9704.74166666666
2005,Consumer,MYOR.JK,-0.0010126471658424695,0.0027955980867412564,0.018033220333015004,10.4532001873347,-0.245735467014772,9704.74166666666
2005,Consumer,UNVR.JK,0.0014405131787146922,0.0027955980867412564,0.018033220333015004,10.4532001873347,-0.245735467014772,9704.74166666666
2005,Energy,AKRA.JK,0.0017960978430010932,0.0019159559418467577,0.01129576773350448,10.4532001873347,-0.245735467014772,9704.74166666666
2005,Energy,MEDC.JK,0.0023720616376563036,0.0019159559418467577,0.01129576773350448,10.4532001873347,-0.245735467014772,9704.74166666666
2005,Energy,PGAS.JK,0.005931953934577923,0.0019159559418467577,0.01129576773350448,10.4532001873347,-0.245735467014772,9704.74166666666
2005,Energy,PTBA.JK,0.0011284223596428054,0.0019159559418467577,0.01129576773350448,10.4532001873347,-0.245735467014772,9704.74166666666
2005,Industrial,ASII.JK,0.0006097770673365832,0.0013447165796192486,0.008642127773071214,10.4532001873347,-0.245735467014772,9704.74166666666
2005,Industrial,AUTO.JK,0.0018432685220871295,0.0013447165796192486,0.008642127773071214,10.4532001873347,-0.245735467014772,9704.74166666666
2005,Industrial,CPIN.JK,0.00044861795612364624,0.0013447165796192486,0.008642127773071214,10.4532001873347,-0.245735467014772,9704.74166666666
2005,Industrial,INTP.JK,0.0006341912451360572,0.0013447165796192486,0.008642127773071214,10.4532001873347,-0.245735467014772,9704.74166666666
2005,Industrial,JPFA.JK,0.001845429366007904,0.0013447165796192486,0.008642127773071214,10.4532001873347,-0.245735467014772,9704.74166666666
2005,Industrial,SMGR.JK,0.00034994847406956257,0.0013447165796192486,0.008642127773071214,10.4532001873347,-0.245735467014772,9704.74166666666
2005,Industrial,UNTR.JK,0.0022841724120997923,0.0013447165796192486,0.008642127773071214,10.4532001873347,-0.245735467014772,9704.74166666666
2005,Infrastructure,ADHI.JK,0.000337654741633886,0.0042500869564153845,0.024118526656697732,10.4532001873347,-0.245735467014772,9704.74166666666
2005,Mining,ANTM.JK,0.005712525106177531,0.0025693931057434046,0.01611672706480338,10.4532001873347,-0.245735467014772,9704.74166666666
2005,Mining,BUMI.JK,0.00010350149860587517,0.0025693931057434046,0.01611672706480338,10.4532001873347,-0.245735467014772,9704.74166666666
2005,Mining,INCO.JK,-0.0019471833530179733,0.0025693931057434046,0.01611672706480338,10.4532001873347,-0.245735467014772,9704.74166666666
2005,Mining,TINS.JK,2.796649583218683e-05,0.0025693931057434046,0.01611672706480338,10.4532001873347,-0.245735467014772,9704.74166666666
2005,Property,CTRA.JK,-0.0013248760084822117,0.0019648484543018617,0.012415080873980943,10.4532001873347,-0.245735467014772,9704.74166666666
2005,Property,LPKR.JK,0.001231153659610554,0.0019648484543018617,0.012415080873980943,10.4532001873347,-0.245735467014772,9704.74166666666
2005,Property,PWON.JK,-0.00039627282589081866,0.0019648484543018617,0.012415080873980943,10.4532001873347,-0.245735467014772,9704.74166666666
2005,Property,SMRA.JK,0.0008679737477195423,0.0019648484543018617,0.012415080873980943,10.4532001873347,-0.245735467014772,9704.74166666666
2005,Telecom,EXCL.JK,0.002265487480862427,0.002506424198545171,0.028903643874216532,10.4532001873347,-0.245735467014772,9704.74166666666
2005,Telecom,ISAT.JK,0.00010330740891170223,0.002506424198545171,0.028903643874216532,10.4532001873347,-0.245735467014772,9704.74166666666
2005,Telecom,TLKM.JK,0.0010455432817218868,0.002506424198545171,0.028903643874216532,10.4532001873347,-0.245735467014772,9704.74166666666
